date,price,district
2014/4/1,51.33,枋寮地區農
2014/5/1,46.67,枋寮地區農
2014/12/1,68.33,枋寮地區農
2015/1/1,50,枋寮地區農
2015/2/1,45,枋寮地區農
2015/3/1,51.67,枋寮地區農
2015/4/1,36.67,枋寮地區農
2015/5/1,41.67,枋寮地區農
2015/6/1,27.5,枋寮地區農
2015/12/1,62.61,枋寮地區農
2016/1/1,51,枋寮地區農
2016/2/1,54.59,枋寮地區農
2016/3/1,70.5,枋寮地區農
2016/4/1,55,枋寮地區農
2016/5/1,55,枋寮地區農
2016/6/1,51,枋寮地區農
2016/12/1,57.26,枋寮地區農
2017/1/1,76,枋寮地區農
2017/2/1,99.83,枋寮地區農
2017/3/1,76.06,枋寮地區農
2017/4/1,46.33,枋寮地區農
2017/5/1,43.4,枋寮地區農
2017/6/1,31,枋寮地區農
2017/12/1,73.4,枋寮地區農
2018/1/1,50.39,枋寮地區農
2018/2/1,62.25,枋寮地區農
2018/3/1,54.93,枋寮地區農
2018/4/1,59.33,枋寮地區農
2018/5/1,52.67,枋寮地區農
2018/6/1,31,枋寮地區農
2018/12/1,62.55,枋寮地區農
2010/2/1,52.5,長治鄉農會
2010/3/1,39,長治鄉農會
2010/4/1,35,長治鄉農會
2011/2/1,47.5,長治鄉農會
2011/3/1,50,長治鄉農會
2011/4/1,51.67,長治鄉農會
2011/5/1,41.67,長治鄉農會
2012/2/1,44.33,長治鄉農會
2012/3/1,43.33,長治鄉農會
2012/4/1,41.67,長治鄉農會
2013/2/1,55,長治鄉農會
2013/3/1,43.33,長治鄉農會
2013/4/1,41.67,長治鄉農會
2013/5/1,40,長治鄉農會
2014/2/1,45.65,長治鄉農會
2014/3/1,73.33,長治鄉農會
2014/4/1,57,長治鄉農會
2014/5/1,54.5,長治鄉農會
2015/2/1,62.5,長治鄉農會
2015/3/1,58.33,長治鄉農會
2015/4/1,62.5,長治鄉農會
2015/5/1,50,長治鄉農會
2016/2/1,62,長治鄉農會
2016/3/1,58.33,長治鄉農會
2016/4/1,44.5,長治鄉農會
2016/5/1,39.33,長治鄉農會
2017/2/1,93.5,長治鄉農會
2017/3/1,56.33,長治鄉農會
2017/4/1,45.67,長治鄉農會
2017/5/1,42.17,長治鄉農會
2018/2/1,69.75,長治鄉農會
2018/3/1,55.33,長治鄉農會
2018/4/1,58.17,長治鄉農會
2018/5/1,45,長治鄉農會
2010/1/1,64,南州鄉農會
2010/2/1,50.5,南州鄉農會
2010/3/1,49.83,南州鄉農會
2010/4/1,54.33,南州鄉農會
2010/5/1,47,南州鄉農會
2010/6/1,24,南州鄉農會
2010/11/1,72.5,南州鄉農會
2010/12/1,70,南州鄉農會
2011/1/1,59,南州鄉農會
2011/2/1,61.5,南州鄉農會
2011/3/1,81.67,南州鄉農會
2011/4/1,68.67,南州鄉農會
2011/5/1,38.67,南州鄉農會
2011/6/1,28,南州鄉農會
2011/11/1,62.5,南州鄉農會
2011/12/1,44.23,南州鄉農會
2012/1/1,55,南州鄉農會
2012/2/1,61.67,南州鄉農會
2012/3/1,58,南州鄉農會
2012/4/1,64.33,南州鄉農會
2012/5/1,57.5,南州鄉農會
2012/12/1,70,南州鄉農會
2013/1/1,66.67,南州鄉農會
2013/2/1,55.85,南州鄉農會
2013/3/1,47.23,南州鄉農會
2013/4/1,46,南州鄉農會
2013/5/1,55,南州鄉農會
2013/11/1,70,南州鄉農會
2013/12/1,69,南州鄉農會
2014/1/1,68.67,南州鄉農會
2014/2/1,74.1,南州鄉農會
2014/3/1,77.57,南州鄉農會
2014/4/1,52,南州鄉農會
2014/5/1,47.33,南州鄉農會
2014/12/1,69,南州鄉農會
2015/1/1,52.67,南州鄉農會
2015/2/1,52.5,南州鄉農會
2015/3/1,47,南州鄉農會
2015/4/1,42.33,南州鄉農會
2015/5/1,45.67,南州鄉農會
